Month,Country,Value
01/01/04,Argentina,0
01/02/04,Argentina,100
01/03/04,Argentina,0
01/04/04,Argentina,0
01/05/04,Argentina,0
01/06/04,Argentina,0
01/07/04,Argentina,0
01/08/04,Argentina,0
01/09/04,Argentina,0
01/10/04,Argentina,0
01/11/04,Argentina,0
01/12/04,Argentina,0
01/01/05,Argentina,0
01/02/05,Argentina,0
01/03/05,Argentina,0
01/04/05,Argentina,0
01/05/05,Argentina,38
01/06/05,Argentina,0
01/07/05,Argentina,0
01/08/05,Argentina,0
01/09/05,Argentina,0
01/10/05,Argentina,0
01/11/05,Argentina,0
01/12/05,Argentina,0
01/01/06,Argentina,33
01/02/06,Argentina,0
01/03/06,Argentina,0
01/04/06,Argentina,0
01/05/06,Argentina,0
01/06/06,Argentina,0
01/07/06,Argentina,0
01/08/06,Argentina,0
01/09/06,Argentina,20
01/10/06,Argentina,0
01/11/06,Argentina,0
01/12/06,Argentina,20
01/01/07,Argentina,0
01/02/07,Argentina,0
01/03/07,Argentina,0
01/04/07,Argentina,15
01/05/07,Argentina,0
01/06/07,Argentina,0
01/07/07,Argentina,12
01/08/07,Argentina,23
01/09/07,Argentina,24
01/10/07,Argentina,11
01/11/07,Argentina,0
01/12/07,Argentina,0
01/01/08,Argentina,0
01/02/08,Argentina,0
01/03/08,Argentina,0
01/04/08,Argentina,0
01/05/08,Argentina,11
01/06/08,Argentina,12
01/07/08,Argentina,0
01/08/08,Argentina,0
01/09/08,Argentina,0
01/10/08,Argentina,0
01/11/08,Argentina,12
01/12/08,Argentina,0
01/01/09,Argentina,0
01/02/09,Argentina,0
01/03/09,Argentina,0
01/04/09,Argentina,0
01/05/09,Argentina,0
01/06/09,Argentina,0
01/07/09,Argentina,9
01/08/09,Argentina,0
01/09/09,Argentina,9
01/10/09,Argentina,0
01/11/09,Argentina,0
01/12/09,Argentina,0
01/01/10,Argentina,0
01/02/10,Argentina,0
01/03/10,Argentina,9
01/04/10,Argentina,0
01/05/10,Argentina,0
01/06/10,Argentina,10
01/07/10,Argentina,0
01/08/10,Argentina,0
01/09/10,Argentina,0
01/10/10,Argentina,9
01/11/10,Argentina,0
01/12/10,Argentina,9
01/01/11,Argentina,4
01/02/11,Argentina,0
01/03/11,Argentina,3
01/04/11,Argentina,0
01/05/11,Argentina,6
01/06/11,Argentina,6
01/07/11,Argentina,3
01/08/11,Argentina,0
01/09/11,Argentina,3
01/10/11,Argentina,5
01/11/11,Argentina,3
01/12/11,Argentina,0
01/01/12,Argentina,3
01/02/12,Argentina,3
01/03/12,Argentina,2
01/04/12,Argentina,0
01/05/12,Argentina,5
01/06/12,Argentina,2
01/07/12,Argentina,0
01/08/12,Argentina,7
01/09/12,Argentina,5
01/10/12,Argentina,0
01/11/12,Argentina,0
01/12/12,Argentina,5
